               Product Type Part Machine Throughput
2821  YH슈퍼스타육성돈    P    2       1  12.233010
2881  YH슈퍼스타육성돈    P    2       1  12.000000
2925  YH슈퍼스타육성돈    P    2       1  11.538462
2947  YH슈퍼스타육성돈    P    1       1  11.538462
2986  YH슈퍼스타육성돈    P    1       1  11.842105
3032  YH슈퍼스타육성돈    P    1       1  11.612903
3121  YH슈퍼스타육성돈    P    2       1  12.765957
3132  YH슈퍼스타육성돈    P    1       1  12.631579
3152  YH슈퍼스타육성돈    P    2       1  12.000000
3231  YH슈퍼스타육성돈    P    2       1   9.677419
3278  YH슈퍼스타육성돈    P    2       1   9.160305
3385  YH슈퍼스타육성돈    P    2       1  10.000000
3497  YH슈퍼스타육성돈    P    2       1  10.000000
3517  YH슈퍼스타육성돈    P    2       1  10.588235
3586  YH슈퍼스타육성돈    P    2       1   9.350649
3628  YH슈퍼스타육성돈    P    2       1  10.169492
3746  YH슈퍼스타육성돈    P    1       1   9.230769
3770  YH슈퍼스타육성돈    P    2       1   9.375000
3794  YH슈퍼스타육성돈    P    1       1  12.857143
3836  YH슈퍼스타육성돈    P    1       1  13.953488
3994  YH슈퍼스타육성돈    P    2       1  12.413793
4036  YH슈퍼스타육성돈    P    2       1  13.846154
4080  YH슈퍼스타육성돈    P    2       1  13.750000
4115  YH슈퍼스타육성돈    P    2       1  13.734940
4189  YH슈퍼스타육성돈    P    1       1  13.125000
4205  YH슈퍼스타육성돈    P    1       1  15.000000
4246  YH슈퍼스타육성돈    P    1       1  12.352941
4286  YH슈퍼스타육성돈    P    1       1  11.392405
4427  YH슈퍼스타육성돈    P    2       1  12.954545
4511  YH슈퍼스타육성돈    P    2       1   9.333333
4579  YH슈퍼스타육성돈    P    1       1  13.846154
4600  YH슈퍼스타육성돈    P    2       1  12.972973
4648  YH슈퍼스타육성돈    P    1       1  13.211009
4949  YH슈퍼스타육성돈    P    2       1   8.513514
5049  YH슈퍼스타육성돈    P    1       1  11.650485
5072  YH슈퍼스타육성돈    P    2       1  11.666667
5175  YH슈퍼스타육성돈    P    1       1   8.737864
5310  YH슈퍼스타육성돈    P    2       1  10.526316
5352  YH슈퍼스타육성돈    P    2       1  11.775701
5393  YH슈퍼스타육성돈    P    2       1  12.692308
5464  YH슈퍼스타육성돈    P    1       1  11.707317
5692  YH슈퍼스타육성돈    C    1       1  11.538462
5799  YH슈퍼스타육성돈    C    2       1  11.566265
5824  YH슈퍼스타육성돈    C    2       1  11.186441
5921  YH슈퍼스타육성돈    C    2       1  11.052632
6053  YH슈퍼스타육성돈    C    2       1  13.200000
6169  YH슈퍼스타육성돈    C    2       1   9.818182
6194  YH슈퍼스타육성돈    C    1       1   9.500000
6247  YH슈퍼스타육성돈    C    1       1  10.000000
6382  YH슈퍼스타육성돈    C    2       1  13.521127
6430  YH슈퍼스타육성돈    C    2       1  13.750000
6517  YH슈퍼스타육성돈    C    2       1  12.500000
6567  YH슈퍼스타육성돈    C    2       1  13.200000
6611  YH슈퍼스타육성돈    C    2       1  13.750000
6657  YH슈퍼스타육성돈    C    1       1  11.578947
6723  YH슈퍼스타육성돈    C    1       1  11.538462
6812  YH슈퍼스타육성돈    C    1       1  12.692308
6924  YH슈퍼스타육성돈    C    2       1  13.636364
6926  YH슈퍼스타육성돈    C    2       1  13.636364
6946  YH슈퍼스타육성돈    C    1       1   9.375000
7021  YH슈퍼스타육성돈    C    2       1  10.714286
7063  YH슈퍼스타육성돈    C    2       1  11.250000
7145  YH슈퍼스타육성돈    C    2       1  13.333333
7180  YH슈퍼스타육성돈    C    2       1  11.428571
7307  YH슈퍼스타육성돈    C    2       1  12.500000
7320  YH슈퍼스타육성돈    C    1       1  11.320755
7342  YH슈퍼스타육성돈    C    2       1  13.333333
7407  YH슈퍼스타육성돈    C    2       1  12.631579
7466  YH슈퍼스타육성돈    C    2       1  13.200000
7553  YH슈퍼스타육성돈    C    2       1  11.612903
7602  YH슈퍼스타육성돈    C    2       1  12.857143
7642  YH슈퍼스타육성돈    C    2       1  12.765957
17549 YH슈퍼스타육성돈    P    2       1  12.000000
17581 YH슈퍼스타육성돈    P    2       1  12.500000
17660 YH슈퍼스타육성돈    P    1       1  13.953488
17764 YH슈퍼스타육성돈    P    2       1  12.857143
17822 YH슈퍼스타육성돈    P    2       1  13.846154
17946 YH슈퍼스타육성돈    P    2       1  11.428571
17967 YH슈퍼스타육성돈    P    1       1  16.216216
17990 YH슈퍼스타육성돈    P    2       1  13.043478
18130 YH슈퍼스타육성돈    P    1       1  16.000000
18249 YH슈퍼스타육성돈    P    2       1  12.500000
18422 YH슈퍼스타육성돈    P    2       1  15.000000
18477 YH슈퍼스타육성돈    P    2       1  12.857143
18542 YH슈퍼스타육성돈    P    1       1  15.789474
18646 YH슈퍼스타육성돈    P    1       1  10.909091
18650 YH슈퍼스타육성돈    P    1       1  15.000000
18737 YH슈퍼스타육성돈    P    1       1  13.333333
18944 YH슈퍼스타육성돈    P    1       1  15.949367
18970 YH슈퍼스타육성돈    P    2       1  13.953488
18995 YH슈퍼스타육성돈    P    1       1  14.285714
19044 YH슈퍼스타육성돈    P    1       1  14.754098
19089 YH슈퍼스타육성돈    P    1       1  16.744186
19113 YH슈퍼스타육성돈    P    2       1  13.875000
19178 YH슈퍼스타육성돈    P    1       1  15.000000
19199 YH슈퍼스타육성돈    P    2       1  13.953488
19223 YH슈퍼스타육성돈    P    1       1  13.953488
19269 YH슈퍼스타육성돈    P    1       1  14.754098
19357 YH슈퍼스타육성돈    P    1       1  15.714286
19422 YH슈퍼스타육성돈    P    1       1  16.666667
19482 YH슈퍼스타육성돈    P    1       1  16.666667
19506 YH슈퍼스타육성돈    P    2       1  17.142857
19531 YH슈퍼스타육성돈    P    1       1  17.142857
19625 YH슈퍼스타육성돈    P    1       1  17.441860
19652 YH슈퍼스타육성돈    P    2       1  17.500000
19722 YH슈퍼스타육성돈    P    1       1  17.454545
19770 YH슈퍼스타육성돈    P    1       1  15.000000
19820 YH슈퍼스타육성돈    P    1       1  16.363636
19907 YH슈퍼스타육성돈    P    1       1  16.000000
19951 YH슈퍼스타육성돈    P    1       1  17.142857
19971 YH슈퍼스타육성돈    P    1       1  16.216216
20016 YH슈퍼스타육성돈    P    2       1  14.516129
20117 YH슈퍼스타육성돈    P    2       1  13.636364
20158 YH슈퍼스타육성돈    P    2       1  17.142857
20210 YH슈퍼스타육성돈    P    2       1  17.280000
20235 YH슈퍼스타육성돈    P    2       1  18.518519
20269 YH슈퍼스타육성돈    P    2       1  18.750000
20299 YH슈퍼스타육성돈    P    1       1  15.000000
20392 YH슈퍼스타육성돈    P    1       1  15.126050
20489 YH슈퍼스타육성돈    P    1       1  17.647059
20539 YH슈퍼스타육성돈    P    1       1  16.438356
20590 YH슈퍼스타육성돈    P    1       1  16.216216
20618 YH슈퍼스타육성돈    P    2       1  15.576923
20666 YH슈퍼스타육성돈    P    2       1  15.000000
20785 YH슈퍼스타육성돈    P    1       1  16.744186
20811 YH슈퍼스타육성돈    P    2       1  16.179775
20853 YH슈퍼스타육성돈    P    2       1  18.367347
20877 YH슈퍼스타육성돈    P    1       1  15.824176
21021 YH슈퍼스타육성돈    P    1       1  16.666667
21045 YH슈퍼스타육성돈    P    2       1  16.179775
21119 YH슈퍼스타육성돈    P    1       1  16.179775
21167 YH슈퍼스타육성돈    P    1       1  15.824176
21219 YH슈퍼스타육성돈    P    1       1  15.157895
21338 YH슈퍼스타육성돈    P    2       1  13.090909
21444 YH슈퍼스타육성돈    P    2       1  15.000000
21504 YH슈퍼스타육성돈    P    2       1  14.823529
